pnr_synth,age,civilstatus,track,benefit_gross_dkk,net_annual_cost_dkk,fp_responsive,res_years_left,years_to_folkepension,npv_saving_dkk
SYN42000380,26,enlig,ressourceforloeb,145000,101500,0,1,44,140415
SYN42000381,30,samlevende,foertidspension,208000,128960,1,0,40,209636
SYN42000382,28,enlig,foertidspension,245000,151900,1,0,42,169374
SYN42000383,25,samlevende,foertidspension,208000,128960,0,0,45,-10000
SYN42000384,24,enlig,ressourceforloeb,145000,101500,1,5,46,195727
SYN42000385,30,enlig,foertidspension,245000,151900,1,0,40,327398
SYN42000386,28,enlig,foertidspension,245000,151900,0,0,42,-10000
SYN42000387,30,enlig,foertidspension,245000,151900,1,0,40,107493
SYN42000388,20,samlevende,ressourceforloeb,110000,77000,0,4,50,48847
SYN42000389,29,enlig,ressourceforloeb,145000,101500,1,1,41,227406
SYN42000390,27,enlig,ressourceforloeb,145000,101500,0,1,43,272469
SYN42000391,20,samlevende,foertidspension,208000,128960,0,0,50,-10000
SYN42000392,26,samlevende,foertidspension,208000,128960,0,0,44,-10000
SYN42000393,27,enlig,ressourceforloeb,145000,101500,0,4,43,461902
SYN42000394,18,enlig,foertidspension,245000,151900,1,0,52,114770
SYN42000395,25,enlig,foertidspension,245000,151900,1,0,45,155706
SYN42000396,29,samlevende,ressourceforloeb,110000,77000,0,5,41,163647
SYN42000397,23,enlig,ressourceforloeb,145000,101500,1,3,47,89988
SYN42000398,25,enlig,foertidspension,245000,151900,1,0,45,49697
SYN42000399,25,enlig,foertidspension,245000,151900,1,0,45,287543
SYN42000400,23,samlevende,ressourceforloeb,110000,77000,1,1,47,288991
SYN42000401,30,enlig,foertidspension,245000,151900,0,0,40,-10000
SYN42000402,28,samlevende,foertidspension,208000,128960,0,0,42,-10000
SYN42000403,20,enlig,foertidspension,245000,151900,1,0,50,240160
SYN42000404,30,samlevende,foertidspension,208000,128960,1,0,40,164138
SYN42000405,29,enlig,foertidspension,245000,151900,1,0,41,146314
SYN42000406,23,enlig,foertidspension,245000,151900,1,0,47,330110
SYN42000407,29,enlig,ressourceforloeb,145000,101500,0,1,41,-69700
SYN42000408,20,samlevende,foertidspension,208000,128960,1,0,50,216364
SYN42000409,30,samlevende,ressourceforloeb,110000,77000,0,1,40,-137423
SYN42000410,27,enlig,foertidspension,245000,151900,0,0,43,-10000
SYN42000411,27,enlig,ressourceforloeb,145000,101500,1,4,43,45345
SYN42000412,19,samlevende,foertidspension,208000,128960,0,0,51,-10000
SYN42000413,30,enlig,ressourceforloeb,145000,101500,1,2,40,253830
SYN42000414,18,enlig,ressourceforloeb,145000,101500,0,1,52,26823
SYN42000415,22,enlig,ressourceforloeb,145000,101500,1,2,48,418275
SYN42000416,20,samlevende,foertidspension,208000,128960,1,0,50,178853
SYN42000417,28,samlevende,foertidspension,208000,128960,1,0,42,199402
SYN42000418,21,samlevende,ressourceforloeb,110000,77000,1,1,49,166794
SYN42000419,30,samlevende,foertidspension,208000,128960,0,0,40,-10000
SYN42000420,27,enlig,foertidspension,245000,151900,0,0,43,-10000
SYN42000421,18,enlig,ressourceforloeb,145000,101500,0,1,52,-83261
SYN42000422,18,enlig,foertidspension,245000,151900,0,0,52,-10000
SYN42000423,19,enlig,ressourceforloeb,145000,101500,1,4,51,497260
SYN42000424,27,enlig,ressourceforloeb,145000,101500,1,2,43,312558
SYN42000425,29,enlig,foertidspension,245000,151900,0,0,41,-10000
SYN42000426,22,enlig,ressourceforloeb,145000,101500,0,4,48,171030
SYN42000427,29,samlevende,foertidspension,208000,128960,1,0,41,169973
SYN42000428,19,enlig,foertidspension,245000,151900,1,0,51,293419
SYN42000429,29,enlig,foertidspension,245000,151900,0,0,41,-10000
SYN42000430,30,samlevende,foertidspension,208000,128960,1,0,40,120614
SYN42000431,28,samlevende,foertidspension,208000,128960,1,0,42,131848
SYN42000432,28,samlevende,foertidspension,208000,128960,1,0,42,247484
SYN42000433,29,samlevende,ressourceforloeb,110000,77000,0,3,41,129153
SYN42000434,18,samlevende,ressourceforloeb,110000,77000,1,2,52,376599
SYN42000435,21,enlig,foertidspension,245000,151900,0,0,49,-10000
SYN42000436,20,enlig,ressourceforloeb,145000,101500,0,2,50,343304
SYN42000437,25,samlevende,ressourceforloeb,110000,77000,1,1,45,53611
SYN42000438,28,enlig,ressourceforloeb,145000,101500,1,3,42,200223
SYN42000439,27,enlig,foertidspension,245000,151900,0,0,43,-10000
SYN42000440,29,enlig,ressourceforloeb,145000,101500,1,3,41,144612
SYN42000441,21,enlig,ressourceforloeb,145000,101500,0,3,49,135156
SYN42000442,28,enlig,ressourceforloeb,145000,101500,1,5,42,46762
SYN42000443,21,enlig,ressourceforloeb,145000,101500,1,2,49,437313
SYN42000444,22,samlevende,foertidspension,208000,128960,1,0,48,293981
SYN42000445,28,samlevende,ressourceforloeb,110000,77000,1,3,42,161327
SYN42000446,30,enlig,foertidspension,245000,151900,1,0,40,242734
SYN42000447,27,samlevende,foertidspension,208000,128960,1,0,43,137881
SYN42000448,19,enlig,ressourceforloeb,145000,101500,1,3,51,343023
SYN42000449,27,samlevende,foertidspension,208000,128960,1,0,43,60733
SYN42000450,18,samlevende,foertidspension,208000,128960,0,0,52,-10000
SYN42000451,29,enlig,foertidspension,245000,151900,1,0,41,185670
SYN42000452,28,samlevende,ressourceforloeb,110000,77000,0,5,42,165811
SYN42000453,21,samlevende,ressourceforloeb,110000,77000,1,3,49,400143
SYN42000454,19,samlevende,foertidspension,208000,128960,0,0,51,-10000
SYN42000455,21,samlevende,foertidspension,208000,128960,0,0,49,-10000
SYN42000456,30,samlevende,foertidspension,208000,128960,1,0,40,159758
SYN42000457,25,enlig,foertidspension,245000,151900,0,0,45,-10000
SYN42000458,28,samlevende,ressourceforloeb,110000,77000,0,3,42,-89653
SYN42000459,27,samlevende,foertidspension,208000,128960,1,0,43,123099
SYN42000460,26,samlevende,ressourceforloeb,110000,77000,0,3,44,149190
SYN42000461,20,enlig,foertidspension,245000,151900,0,0,50,-10000
SYN42000462,30,samlevende,ressourceforloeb,110000,77000,1,5,40,252069
SYN42000463,23,enlig,ressourceforloeb,145000,101500,0,3,47,169298
SYN42000464,26,samlevende,foertidspension,208000,128960,0,0,44,-10000
SYN42000465,28,enlig,foertidspension,245000,151900,0,0,42,-10000
SYN42000466,27,samlevende,foertidspension,208000,128960,0,0,43,-10000
SYN42000467,30,samlevende,ressourceforloeb,110000,77000,0,2,40,211729
SYN42000468,20,enlig,ressourceforloeb,145000,101500,0,3,50,328440
SYN42000469,25,enlig,foertidspension,245000,151900,1,0,45,175618
SYN42000470,24,enlig,ressourceforloeb,145000,101500,1,1,46,173340
SYN42000471,25,samlevende,ressourceforloeb,110000,77000,0,1,45,237002
SYN42000472,20,samlevende,foertidspension,208000,128960,0,0,50,-10000
SYN42000473,20,enlig,ressourceforloeb,145000,101500,1,3,50,417781
SYN42000474,22,enlig,foertidspension,245000,151900,1,0,48,151228
SYN42000475,23,enlig,ressourceforloeb,145000,101500,0,4,47,392806
SYN42000476,24,enlig,foertidspension,245000,151900,1,0,46,140395
SYN42000477,27,samlevende,foertidspension,208000,128960,0,0,43,-10000
SYN42000478,27,samlevende,foertidspension,208000,128960,1,0,43,123794
SYN42000479,24,enlig,foertidspension,245000,151900,1,0,46,240578
SYN42000480,24,samlevende,ressourceforloeb,110000,77000,1,5,46,326717
SYN42000481,22,enlig,foertidspension,245000,151900,0,0,48,-10000
SYN42000482,26,samlevende,foertidspension,208000,128960,0,0,44,-10000
SYN42000483,23,enlig,foertidspension,245000,151900,0,0,47,-10000
SYN42000484,18,samlevende,foertidspension,208000,128960,0,0,52,-10000
SYN42000485,24,samlevende,foertidspension,208000,128960,0,0,46,-10000
SYN42000486,25,enlig,foertidspension,245000,151900,1,0,45,111781
SYN42000487,22,samlevende,foertidspension,208000,128960,0,0,48,-10000
SYN42000488,26,samlevende,ressourceforloeb,110000,77000,1,1,44,36406
SYN42000489,26,enlig,ressourceforloeb,145000,101500,0,1,44,-83627
SYN42000490,28,enlig,foertidspension,245000,151900,0,0,42,-10000
SYN42000491,27,samlevende,ressourceforloeb,110000,77000,1,1,43,416090
SYN42000492,27,enlig,foertidspension,245000,151900,1,0,43,232867
SYN42000493,23,enlig,foertidspension,245000,151900,0,0,47,-10000
SYN42000494,28,enlig,ressourceforloeb,145000,101500,1,4,42,-28393
SYN42000495,26,samlevende,foertidspension,208000,128960,0,0,44,-10000
SYN42000496,25,enlig,foertidspension,245000,151900,0,0,45,-10000
SYN42000497,27,enlig,foertidspension,245000,151900,1,0,43,181900
SYN42000498,24,samlevende,ressourceforloeb,110000,77000,0,2,46,-67458
SYN42000499,25,enlig,foertidspension,245000,151900,1,0,45,280141
SYN42000500,28,samlevende,ressourceforloeb,110000,77000,0,1,42,331658
SYN42000501,29,enlig,foertidspension,245000,151900,1,0,41,301319
SYN42000502,30,samlevende,ressourceforloeb,110000,77000,1,1,40,208115
SYN42000503,25,samlevende,foertidspension,208000,128960,0,0,45,-10000
SYN42000504,26,enlig,foertidspension,245000,151900,0,0,44,-10000
SYN42000505,29,samlevende,foertidspension,208000,128960,0,0,41,-10000
SYN42000506,23,enlig,ressourceforloeb,145000,101500,1,2,47,120876
SYN42000507,29,enlig,foertidspension,245000,151900,1,0,41,167672
SYN42000508,25,enlig,foertidspension,245000,151900,1,0,45,189342
SYN42000509,20,samlevende,ressourceforloeb,110000,77000,0,5,50,78811
SYN42000510,19,enlig,foertidspension,245000,151900,0,0,51,-10000
SYN42000511,29,enlig,foertidspension,245000,151900,1,0,41,214951
SYN42000512,19,enlig,foertidspension,245000,151900,0,0,51,-10000
SYN42000513,22,enlig,foertidspension,245000,151900,1,0,48,54507
SYN42000514,23,enlig,foertidspension,245000,151900,0,0,47,-10000
SYN42000515,21,enlig,foertidspension,245000,151900,0,0,49,-10000
SYN42000516,23,enlig,foertidspension,245000,151900,1,0,47,257850
SYN42000517,28,enlig,ressourceforloeb,145000,101500,1,3,42,-114565
SYN42000518,18,samlevende,foertidspension,208000,128960,1,0,52,228876
SYN42000519,29,enlig,foertidspension,245000,151900,0,0,41,-10000
SYN42000520,29,samlevende,foertidspension,208000,128960,1,0,41,190166
SYN42000521,24,enlig,foertidspension,245000,151900,1,0,46,207444
SYN42000522,20,enlig,ressourceforloeb,145000,101500,1,3,50,157867
SYN42000523,27,enlig,ressourceforloeb,145000,101500,1,1,43,-169378
SYN42000524,20,enlig,foertidspension,245000,151900,1,0,50,79249
SYN42000525,24,enlig,ressourceforloeb,145000,101500,1,1,46,264073
SYN42000526,30,samlevende,ressourceforloeb,110000,77000,0,3,40,157557
SYN42000527,30,enlig,ressourceforloeb,145000,101500,0,4,40,42875
SYN42000528,28,enlig,foertidspension,245000,151900,1,0,42,248791
SYN42000529,23,samlevende,ressourceforloeb,110000,77000,0,3,47,258004
SYN42000530,27,enlig,ressourceforloeb,145000,101500,0,2,43,171670
SYN42000531,28,enlig,ressourceforloeb,145000,101500,1,5,42,406077
SYN42000532,24,enlig,ressourceforloeb,145000,101500,0,1,46,-86994
SYN42000533,27,enlig,ressourceforloeb,145000,101500,1,1,43,320978
SYN42000534,18,enlig,foertidspension,245000,151900,1,0,52,318008
SYN42000535,21,samlevende,foertidspension,208000,128960,0,0,49,-10000
SYN42000536,26,samlevende,ressourceforloeb,110000,77000,1,3,44,124439
SYN42000537,21,enlig,foertidspension,245000,151900,0,0,49,-10000
SYN42000538,21,samlevende,ressourceforloeb,110000,77000,1,1,49,-34543
SYN42000539,29,samlevende,ressourceforloeb,110000,77000,1,1,41,-22994
SYN42000540,30,enlig,foertidspension,245000,151900,0,0,40,-10000
SYN42000541,26,samlevende,foertidspension,208000,128960,0,0,44,-10000
SYN42000542,29,samlevende,foertidspension,208000,128960,0,0,41,-10000
SYN42000543,30,samlevende,ressourceforloeb,110000,77000,0,2,40,198083
SYN42000544,20,samlevende,ressourceforloeb,110000,77000,0,4,50,117544
SYN42000545,25,enlig,ressourceforloeb,145000,101500,1,3,45,290636
SYN42000546,24,enlig,ressourceforloeb,145000,101500,0,5,46,178375
SYN42000547,19,enlig,foertidspension,245000,151900,1,0,51,211313
SYN42000548,28,enlig,ressourceforloeb,145000,101500,0,1,42,45263
SYN42000549,25,enlig,foertidspension,245000,151900,1,0,45,185202
SYN42000550,25,samlevende,foertidspension,208000,128960,0,0,45,-10000
SYN42000551,20,enlig,foertidspension,245000,151900,0,0,50,-10000
SYN42000552,21,enlig,ressourceforloeb,145000,101500,1,4,49,209186
SYN42000553,30,samlevende,foertidspension,208000,128960,0,0,40,-10000
SYN42000554,18,enlig,ressourceforloeb,145000,101500,1,4,52,290433
SYN42000555,22,enlig,foertidspension,245000,151900,0,0,48,-10000
SYN42000556,23,samlevende,ressourceforloeb,110000,77000,1,1,47,223141
SYN42000557,25,enlig,foertidspension,245000,151900,1,0,45,141106
SYN42000558,26,enlig,foertidspension,245000,151900,1,0,44,162510
SYN42000559,25,enlig,foertidspension,245000,151900,0,0,45,-10000
SYN42000560,19,samlevende,foertidspension,208000,128960,0,0,51,-10000
SYN42000561,22,enlig,foertidspension,245000,151900,0,0,48,-10000
SYN42000562,29,enlig,foertidspension,245000,151900,0,0,41,-10000
SYN42000563,27,enlig,ressourceforloeb,145000,101500,0,2,43,12008
SYN42000564,27,enlig,foertidspension,245000,151900,1,0,43,243532
SYN42000565,27,samlevende,foertidspension,208000,128960,1,0,43,199641
SYN42000566,28,enlig,foertidspension,245000,151900,1,0,42,74193
SYN42000567,19,samlevende,ressourceforloeb,110000,77000,0,1,51,45955
SYN42000568,24,enlig,foertidspension,245000,151900,0,0,46,-10000
SYN42000569,26,enlig,ressourceforloeb,145000,101500,1,5,44,249524
SYN42000570,23,samlevende,foertidspension,208000,128960,0,0,47,-10000
SYN42000571,29,enlig,ressourceforloeb,145000,101500,0,3,41,-76054
SYN42000572,25,enlig,ressourceforloeb,145000,101500,1,4,45,-2320
SYN42000573,28,samlevende,ressourceforloeb,110000,77000,1,3,42,216647
SYN42000574,29,enlig,ressourceforloeb,145000,101500,1,2,41,332090
SYN42000575,25,enlig,ressourceforloeb,145000,101500,0,5,45,247167
SYN42000576,30,samlevende,foertidspension,208000,128960,1,0,40,175122
SYN42000577,26,enlig,ressourceforloeb,145000,101500,0,2,44,225775
SYN42000578,29,enlig,foertidspension,245000,151900,0,0,41,-10000
SYN42000579,23,enlig,ressourceforloeb,145000,101500,1,5,47,549076
SYN42000580,25,enlig,foertidspension,245000,151900,0,0,45,-10000
SYN42000581,26,enlig,foertidspension,245000,151900,1,0,44,83481
SYN42000582,20,samlevende,ressourceforloeb,110000,77000,0,5,50,-17756
SYN42000583,24,enlig,foertidspension,245000,151900,0,0,46,-10000
SYN42000584,30,samlevende,foertidspension,208000,128960,1,0,40,207023
SYN42000585,27,enlig,foertidspension,245000,151900,0,0,43,-10000
SYN42000586,21,enlig,ressourceforloeb,145000,101500,1,5,49,71846
SYN42000587,23,enlig,ressourceforloeb,145000,101500,0,5,47,287169
SYN42000588,21,samlevende,foertidspension,208000,128960,1,0,49,224634
SYN42000589,18,enlig,ressourceforloeb,145000,101500,0,1,52,316278
SYN42000590,30,enlig,foertidspension,245000,151900,0,0,40,-10000
SYN42000591,25,samlevende,ressourceforloeb,110000,77000,1,4,45,423086
SYN42000592,23,samlevende,foertidspension,208000,128960,0,0,47,-10000
SYN42000593,26,enlig,ressourceforloeb,145000,101500,0,5,44,-6952
SYN42000594,18,samlevende,ressourceforloeb,110000,77000,1,5,52,-15866
SYN42000595,22,enlig,foertidspension,245000,151900,1,0,48,58759
SYN42000596,28,enlig,foertidspension,245000,151900,1,0,42,121357
SYN42000597,27,enlig,foertidspension,245000,151900,1,0,43,244967
SYN42000598,30,enlig,foertidspension,245000,151900,1,0,40,185472
SYN42000599,27,enlig,ressourceforloeb,145000,101500,1,5,43,199582
SYN42000600,25,samlevende,ressourceforloeb,110000,77000,1,5,45,169559
SYN42000601,28,enlig,ressourceforloeb,145000,101500,0,2,42,330766
SYN42000602,30,samlevende,foertidspension,208000,128960,0,0,40,-10000
SYN42000603,28,samlevende,ressourceforloeb,110000,77000,1,3,42,302416
SYN42000604,30,samlevende,foertidspension,208000,128960,1,0,40,270356
SYN42000605,28,samlevende,ressourceforloeb,110000,77000,1,3,42,197576
SYN42000606,29,samlevende,ressourceforloeb,110000,77000,0,4,41,119008
SYN42000607,20,samlevende,ressourceforloeb,110000,77000,0,1,50,16800
SYN42000608,28,enlig,ressourceforloeb,145000,101500,1,2,42,7940
SYN42000609,25,enlig,ressourceforloeb,145000,101500,1,4,45,515007
SYN42000610,26,enlig,foertidspension,245000,151900,0,0,44,-10000
SYN42000611,27,enlig,ressourceforloeb,145000,101500,1,1,43,-41278
SYN42000612,30,enlig,foertidspension,245000,151900,1,0,40,176199
SYN42000613,30,samlevende,foertidspension,208000,128960,1,0,40,149641
SYN42000614,23,enlig,foertidspension,245000,151900,0,0,47,-10000
SYN42000615,28,samlevende,foertidspension,208000,128960,1,0,42,257915
SYN42000616,28,enlig,ressourceforloeb,145000,101500,1,1,42,-75564
SYN42000617,23,enlig,ressourceforloeb,145000,101500,1,2,47,-4298
SYN42000618,20,enlig,ressourceforloeb,145000,101500,0,1,50,-57601
SYN42000619,18,enlig,foertidspension,245000,151900,1,0,52,228588
SYN42000620,28,enlig,foertidspension,245000,151900,1,0,42,155913
SYN42000621,25,enlig,ressourceforloeb,145000,101500,0,1,45,178194
SYN42000622,30,enlig,ressourceforloeb,145000,101500,0,2,40,106568
SYN42000623,25,enlig,foertidspension,245000,151900,1,0,45,86154
SYN42000624,30,enlig,foertidspension,245000,151900,1,0,40,150214
SYN42000625,24,enlig,foertidspension,245000,151900,0,0,46,-10000
SYN42000626,29,enlig,foertidspension,245000,151900,0,0,41,-10000
SYN42000627,19,enlig,foertidspension,245000,151900,0,0,51,-10000
SYN42000628,26,enlig,foertidspension,245000,151900,1,0,44,302748
SYN42000629,29,enlig,ressourceforloeb,145000,101500,1,4,41,50226
SYN42000630,30,enlig,ressourceforloeb,145000,101500,0,1,40,-11057
SYN42000631,29,samlevende,foertidspension,208000,128960,0,0,41,-10000
SYN42000632,18,samlevende,foertidspension,208000,128960,0,0,52,-10000
SYN42000633,24,samlevende,ressourceforloeb,110000,77000,1,3,46,160749
SYN42000634,19,enlig,foertidspension,245000,151900,1,0,51,232237
SYN42000635,20,enlig,ressourceforloeb,145000,101500,1,4,50,361584
SYN42000636,27,enlig,foertidspension,245000,151900,0,0,43,-10000
SYN42000637,28,samlevende,ressourceforloeb,110000,77000,0,3,42,54592
SYN42000638,28,samlevende,foertidspension,208000,128960,0,0,42,-10000
SYN42000639,29,samlevende,foertidspension,208000,128960,1,0,41,156430
SYN42000640,28,samlevende,ressourceforloeb,110000,77000,1,5,42,296601
SYN42000641,29,enlig,ressourceforloeb,145000,101500,1,2,41,201945
SYN42000642,19,samlevende,foertidspension,208000,128960,0,0,51,-10000
SYN42000643,22,samlevende,ressourceforloeb,110000,77000,1,2,48,402949
SYN42000644,27,enlig,ressourceforloeb,145000,101500,0,4,43,-77279
SYN42000645,29,samlevende,foertidspension,208000,128960,1,0,41,185488
SYN42000646,18,enlig,ressourceforloeb,145000,101500,1,2,52,336465
SYN42000647,26,samlevende,ressourceforloeb,110000,77000,1,1,44,339491
SYN42000648,27,samlevende,ressourceforloeb,110000,77000,1,4,43,409054
SYN42000649,18,enlig,foertidspension,245000,151900,0,0,52,-10000
SYN42000650,24,samlevende,ressourceforloeb,110000,77000,1,2,46,81173
SYN42000651,30,enlig,ressourceforloeb,145000,101500,0,1,40,-17135
SYN42000652,27,samlevende,ressourceforloeb,110000,77000,1,5,43,366114
SYN42000653,22,samlevende,ressourceforloeb,110000,77000,0,5,48,97530
SYN42000654,29,samlevende,ressourceforloeb,110000,77000,0,4,41,-149276
SYN42000655,23,samlevende,ressourceforloeb,110000,77000,0,3,47,232974
SYN42000656,29,enlig,ressourceforloeb,145000,101500,0,2,41,259447
SYN42000657,23,enlig,ressourceforloeb,145000,101500,1,3,47,310500
SYN42000658,26,enlig,foertidspension,245000,151900,1,0,44,165281
SYN42000659,24,enlig,ressourceforloeb,145000,101500,0,2,46,201391
SYN42000660,22,enlig,ressourceforloeb,145000,101500,1,3,48,387282
SYN42000661,29,enlig,foertidspension,245000,151900,1,0,41,23149
SYN42000662,21,enlig,foertidspension,245000,151900,0,0,49,-10000
SYN42000663,19,enlig,foertidspension,245000,151900,0,0,51,-10000
SYN42000664,23,samlevende,ressourceforloeb,110000,77000,1,2,47,220368
SYN42000665,28,enlig,ressourceforloeb,145000,101500,1,3,42,568572
SYN42000666,29,samlevende,ressourceforloeb,110000,77000,0,3,41,239725
SYN42000667,30,enlig,ressourceforloeb,145000,101500,1,3,40,-129038
SYN42000668,23,enlig,ressourceforloeb,145000,101500,0,5,47,153201
SYN42000669,24,enlig,foertidspension,245000,151900,0,0,46,-10000
SYN42000670,20,enlig,ressourceforloeb,145000,101500,1,5,50,403248
SYN42000671,26,enlig,foertidspension,245000,151900,1,0,44,35193
SYN42000672,30,enlig,ressourceforloeb,145000,101500,1,2,40,102240
SYN42000673,28,enlig,ressourceforloeb,145000,101500,0,3,42,247685
SYN42000674,26,enlig,foertidspension,245000,151900,0,0,44,-10000
SYN42000675,24,samlevende,foertidspension,208000,128960,0,0,46,-10000
SYN42000676,30,enlig,ressourceforloeb,145000,101500,0,3,40,-81192
SYN42000677,25,samlevende,foertidspension,208000,128960,0,0,45,-10000
SYN42000678,20,enlig,ressourceforloeb,145000,101500,1,3,50,213829
SYN42000679,24,samlevende,ressourceforloeb,110000,77000,1,4,46,256015
SYN42000680,19,samlevende,foertidspension,208000,128960,1,0,51,101711
SYN42000681,21,samlevende,ressourceforloeb,110000,77000,0,5,49,53254
SYN42000682,18,samlevende,ressourceforloeb,110000,77000,0,5,52,116633
SYN42000683,25,enlig,ressourceforloeb,145000,101500,1,5,45,259821
SYN42000684,27,enlig,ressourceforloeb,145000,101500,0,1,43,-7852
SYN42000685,23,enlig,ressourceforloeb,145000,101500,1,5,47,371971
SYN42000686,24,samlevende,ressourceforloeb,110000,77000,0,2,46,-198246
SYN42000687,30,samlevende,foertidspension,208000,128960,1,0,40,203302
SYN42000688,28,enlig,foertidspension,245000,151900,1,0,42,119055
SYN42000689,26,samlevende,ressourceforloeb,110000,77000,1,2,44,42927
SYN42000690,23,enlig,ressourceforloeb,145000,101500,1,5,47,242640
SYN42000691,30,samlevende,foertidspension,208000,128960,1,0,40,147648
SYN42000692,22,samlevende,ressourceforloeb,110000,77000,0,5,48,162050
SYN42000693,23,enlig,foertidspension,245000,151900,1,0,47,270976
SYN42000694,30,samlevende,foertidspension,208000,128960,1,0,40,263767
SYN42000695,26,samlevende,ressourceforloeb,110000,77000,1,4,44,44688
SYN42000696,28,enlig,ressourceforloeb,145000,101500,0,3,42,160587
SYN42000697,26,enlig,ressourceforloeb,145000,101500,0,3,44,131287
SYN42000698,27,enlig,ressourceforloeb,145000,101500,1,4,43,154835
SYN42000699,23,samlevende,ressourceforloeb,110000,77000,1,4,47,90686
SYN42000700,22,enlig,foertidspension,245000,151900,0,0,48,-10000
SYN42000701,23,samlevende,ressourceforloeb,110000,77000,0,4,47,-143720
SYN42000702,21,samlevende,foertidspension,208000,128960,0,0,49,-10000
SYN42000703,29,enlig,foertidspension,245000,151900,1,0,41,144627
SYN42000704,23,enlig,ressourceforloeb,145000,101500,0,1,47,-125694
SYN42000705,26,samlevende,ressourceforloeb,110000,77000,0,4,44,242831
SYN42000706,29,samlevende,ressourceforloeb,110000,77000,0,2,41,126381
SYN42000707,28,enlig,foertidspension,245000,151900,1,0,42,414438
SYN42000708,25,enlig,ressourceforloeb,145000,101500,0,4,45,192559
SYN42000709,25,enlig,foertidspension,245000,151900,0,0,45,-10000
SYN42000710,30,samlevende,foertidspension,208000,128960,1,0,40,47054
SYN42000711,27,enlig,foertidspension,245000,151900,0,0,43,-10000
SYN42000712,29,samlevende,foertidspension,208000,128960,1,0,41,289574
SYN42000713,30,enlig,foertidspension,245000,151900,1,0,40,145278
SYN42000714,28,samlevende,foertidspension,208000,128960,0,0,42,-10000
SYN42000715,21,enlig,foertidspension,245000,151900,0,0,49,-10000
SYN42000716,26,enlig,foertidspension,245000,151900,0,0,44,-10000
SYN42000717,20,samlevende,foertidspension,208000,128960,0,0,50,-10000
SYN42000718,27,samlevende,foertidspension,208000,128960,0,0,43,-10000
SYN42000719,30,enlig,ressourceforloeb,145000,101500,0,3,40,-40036
SYN42000720,25,enlig,foertidspension,245000,151900,0,0,45,-10000
SYN42000721,25,enlig,foertidspension,245000,151900,1,0,45,217948
SYN42000722,18,enlig,foertidspension,245000,151900,0,0,52,-10000
SYN42000723,30,enlig,ressourceforloeb,145000,101500,0,4,40,-93203
SYN42000724,20,samlevende,foertidspension,208000,128960,1,0,50,209576
SYN42000725,18,enlig,foertidspension,245000,151900,0,0,52,-10000
SYN42000726,22,samlevende,foertidspension,208000,128960,0,0,48,-10000
SYN42000727,19,enlig,ressourceforloeb,145000,101500,0,1,51,322450
SYN42000728,25,enlig,foertidspension,245000,151900,0,0,45,-10000
SYN42000729,26,samlevende,foertidspension,208000,128960,0,0,44,-10000
SYN42000730,23,enlig,foertidspension,245000,151900,1,0,47,231639
SYN42000731,19,samlevende,foertidspension,208000,128960,1,0,51,94267
SYN42000732,20,enlig,foertidspension,245000,151900,0,0,50,-10000
SYN42000733,24,samlevende,foertidspension,208000,128960,0,0,46,-10000
SYN42000734,19,samlevende,ressourceforloeb,110000,77000,1,2,51,108966
SYN42000735,28,samlevende,foertidspension,208000,128960,1,0,42,131617
SYN42000736,21,enlig,ressourceforloeb,145000,101500,0,2,49,304656
SYN42000737,23,enlig,foertidspension,245000,151900,0,0,47,-10000
SYN42000738,24,enlig,foertidspension,245000,151900,0,0,46,-10000
SYN42000739,24,enlig,ressourceforloeb,145000,101500,1,4,46,438385
SYN42000740,18,enlig,ressourceforloeb,145000,101500,0,3,52,357991
SYN42000741,20,enlig,ressourceforloeb,145000,101500,0,5,50,136052
SYN42000742,29,enlig,foertidspension,245000,151900,0,0,41,-10000
SYN42000743,18,enlig,foertidspension,245000,151900,0,0,52,-10000
SYN42000744,25,enlig,ressourceforloeb,145000,101500,1,2,45,409001
SYN42000745,25,enlig,foertidspension,245000,151900,1,0,45,118137
SYN42000746,23,enlig,ressourceforloeb,145000,101500,1,2,47,134981
SYN42000747,25,samlevende,foertidspension,208000,128960,0,0,45,-10000
SYN42000748,28,enlig,ressourceforloeb,145000,101500,0,5,42,136942
SYN42000749,29,enlig,ressourceforloeb,145000,101500,1,2,41,226894
SYN42000750,22,enlig,ressourceforloeb,145000,101500,1,4,48,293216
SYN42000751,23,samlevende,foertidspension,208000,128960,0,0,47,-10000
SYN42000752,22,enlig,ressourceforloeb,145000,101500,0,2,48,143093
SYN42000753,25,samlevende,foertidspension,208000,128960,1,0,45,122699
SYN42000754,27,samlevende,ressourceforloeb,110000,77000,1,4,43,95240
SYN42000755,22,enlig,ressourceforloeb,145000,101500,1,5,48,380847
SYN42000756,23,samlevende,ressourceforloeb,110000,77000,1,2,47,309827
SYN42000757,30,samlevende,ressourceforloeb,110000,77000,0,2,40,-37095
SYN42000758,19,enlig,foertidspension,245000,151900,0,0,51,-10000
SYN42000759,25,enlig,ressourceforloeb,145000,101500,0,3,45,100399
SYN42000760,28,samlevende,foertidspension,208000,128960,1,0,42,83377
SYN42000761,20,samlevende,ressourceforloeb,110000,77000,1,4,50,85741
SYN42000762,19,enlig,ressourceforloeb,145000,101500,0,1,51,298442
SYN42000763,20,enlig,ressourceforloeb,145000,101500,1,5,50,357929
SYN42000764,30,samlevende,ressourceforloeb,110000,77000,0,2,40,102116
