year,iso_code,country,fire_count,burned_area_km2,fire_intensity_index
2003,SVK,Slovakia,83,1120.0,33.3
2004,SVK,Slovakia,74,959.6,29.6
2005,SVK,Slovakia,65,810.1,26.1
2006,SVK,Slovakia,62,763.0,24.7
2007,SVK,Slovakia,65,819.1,25.8
2008,SVK,Slovakia,71,934.0,28.4
2009,SVK,Slovakia,76,1034.3,30.2
2010,SVK,Slovakia,75,1024.9,29.9
2011,SVK,Slovakia,68,903.7,27.3
2012,SVK,Slovakia,60,763.5,23.9
2013,SVK,Slovakia,54,666.3,21.5
2014,SVK,Slovakia,53,656.3,21.2
2015,SVK,Slovakia,57,731.2,22.8
2016,SVK,Slovakia,62,829.8,24.8
2017,SVK,Slovakia,64,876.2,25.6
2018,SVK,Slovakia,61,826.5,24.3
2019,SVK,Slovakia,54,704.7,21.6
2020,SVK,Slovakia,47,588.4,18.8
2021,SVK,Slovakia,44,541.2,17.4
2022,SVK,Slovakia,45,564.2,17.9
2023,SVK,Slovakia,49,640.7,19.4
2024,SVK,Slovakia,52,705.3,20.7
2000,SVN,Slovenia,116,1569.9,46.5
2001,SVN,Slovenia,117,1602.2,47.0
2002,SVN,Slovenia,110,1474.4,43.8
2003,SVN,Slovenia,97,1246.5,38.6
2004,SVN,Slovenia,86,1065.9,34.3
2005,SVN,Slovenia,83,1023.6,33.2
2006,SVN,Slovenia,88,1118.0,35.4
2007,SVN,Slovenia,97,1287.1,38.8
2008,SVN,Slovenia,102,1393.2,40.9
2009,SVN,Slovenia,99,1348.4,39.8
2010,SVN,Slovenia,90,1186.0,35.9
2011,SVN,Slovenia,78,984.4,31.3
2012,SVN,Slovenia,72,886.3,28.6
2013,SVN,Slovenia,72,896.2,28.9
2014,SVN,Slovenia,78,1009.7,31.4
2015,SVN,Slovenia,85,1145.6,33.9
2016,SVN,Slovenia,86,1178.2,34.5
2017,SVN,Slovenia,81,1090.8,32.3
2018,SVN,Slovenia,71,918.1,28.4
2019,SVN,Slovenia,62,771.2,24.9
2020,SVN,Slovenia,59,726.4,23.5
2021,SVN,Slovenia,62,783.2,24.6
2022,SVN,Slovenia,67,883.9,26.8
2023,SVN,Slovenia,71,967.5,28.2
2024,SVN,Slovenia,69,942.1,27.5
2000,SWE,Sweden,82,1120.9,32.9
2001,SWE,Sweden,76,1010.9,30.2
2002,SWE,Sweden,66,840.6,26.5
2003,SWE,Sweden,60,740.6,23.9
2004,SWE,Sweden,59,730.3,23.6
2005,SWE,Sweden,64,820.2,25.5
2006,SWE,Sweden,70,936.2,27.9
2007,SWE,Sweden,72,985.6,29.0
2008,SWE,Sweden,69,935.4,27.7
2009,SWE,Sweden,62,809.8,24.7
2010,SWE,Sweden,54,676.4,21.7
2011,SWE,Sweden,50,615.0,20.1
2012,SWE,Sweden,52,651.5,20.7
2013,SWE,Sweden,57,744.6,22.7
2014,SWE,Sweden,61,827.0,24.3
2015,SWE,Sweden,61,835.0,24.3
2016,SWE,Sweden,56,748.8,22.4
2017,SWE,Sweden,49,627.9,19.6
2018,SWE,Sweden,43,532.2,17.4
2019,SWE,Sweden,42,518.5,16.8
2020,SWE,Sweden,45,573.2,17.9
2021,SWE,Sweden,49,651.8,19.5
2022,SWE,Sweden,51,697.2,20.2
2023,SWE,Sweden,49,666.5,19.4
2024,SWE,Sweden,43,565.1,17.3
